Type,CharacterId,Dialogue,,CharacterNum,MCharacter,MCIllust,LCharacter,LCIllust,RCharacter,RCIllust,,AnswerId,LineOffset,FigureId,FigureIdx,PrivisoId,PrivisoIdx,,TriggerObject,OpenDialogue,,Background,EffectSound,BGM
0,M4,숲에서 발견한 CCTV말이야. 보여달라고 한다고 바로 보여줄지는 모르겠어 |지금까지 박종우씨나 남지혜씨는 딱히 거리낌없이 말해줬지만..,,2,,,M4,0,M0,0,,,,,,,,,,,,,,
0,,AI는 실존인물을 모델 학습한 결과야 |원본 인물이 의심도 많고 방어적이라면 모든 걸 알려주려고 하진 않을거야,,,,,,,,,,,,,,,,,,,,,,
0,M0,"그렇다고 우리를 경찰로 인식하게 설정을 바꾼다면, <color=#A69F5E>더 숨기려고 할 수도 있으니까</color>",,,,,,,,,,,,,,,,,,,,,,
0,M4,응. 특히 만약 범인이 섞여있다면 말이야,,,,,,,,,,,,,,,,,,,,,,
0,,원본과 동일하다는 것이 장점이자 단점인거지,,,,,,,,,,,,,,,,,,,,,,
0,M0,일단 지혜씨에게 물어나보자,,,,,,,,,,,,,,,,,,,,,,
0,,지혜씨 혹시 CCTV를 좀 확인할 수 있을까요?,,1,S1-4,,,,,,,,,,,,,,,,,,,
0,S1-4,네..? CCTV요? 어째서죠?,,,,,,,,,,,,,,,,,,,,,,
0,M0,별다른 건 아니고 전에 숲 근처에서 피크닉을 했었는데 |바닥에 제 휴대폰을 떨어트렸거든요,,,,,,,,,,,,,,,,,,,,,,
0,,그런데 아무리 찾아도 없어서.. 혹시 누가 가져갔을까 싶어서요,,,,,,,,,,,,,,,,,,,,,,
0,S1-4,도난사고인가요? |죄송하지만.. 이 숲은 사유지가 아니어서 함부로 열람하게 해드릴 순 없어요,,,,,,,,,,,,,,,,,,,,,,
0,,제가 확인하고 알려드릴게요!,,,,,,,,,,,,,,,,,,,,,,
0,M4,하하 곤란한걸~ |우리가 오지도 않은걸 확인하면 더 이상하게 생각할거야 |시간을 돌리자,,,,,,,,,,,,,,,,,,,,,,
0,S1-4,…,,,,,,,,,,,,,,,,,,,,,,
0,,네..? CCTV요? 어째서죠?,,,,,,,,,,,,,,,,,,,,,,
0,M4,아니에요~ 그냥 해본 말이니까 잊어주세요,,2,,,S1-4,0,M4,0,,,,,,,,,,,,,,
0,,그런데 저 뒤에 있는 모니터들이 CCTV 화면 맞나요?,,,,,,,,,,,,,,,,,,,,,,
0,S1-4,맞긴 하지만… 죄송합니다 |CCTV 건에 대해서는 제가 허락할 수 없어요 |권한도 없고요,,,,,,,,,,,,,,,,,,,,,,
0,M4,아뇨아뇨 보고 싶다는게 아니라.. |<color=#A69F5E>저 마지막 모니터는 꺼져있어서요</color>,,,,,,,,,,,,,,,,,,,,,,
0,,고장난거 아니에요?,,,,,,,,,,,,,,,,,,,,,,
0,S1-4,고장난건 아니에요 |원래 총 9곳에 CCTV가 달려있었지만 하나가 전에 그 중 하나의 CCTV를 폐기했거든요,,,,,,,,,,,,,,,,,,,,,,
0,,"보시다시피 사람도 별로 없는 시골 동네여서 CCTV의 중요성이 크진 않았거든요 |마침 약도 다 떨어졌겠다, 유지보수 비용보다 폐기가 낫다고 결론났어요 ",,,,,,,,,,,,,,,,,,,,,,
0,M0,(그렇다면 현재 총 CCTV는 8개이군),,,,,,,,,,,,,,,,,,,,,,
0,,(어디어디에 있을까),,,,,,,,,,,,,,,,,,,,,,
0,,저..,,,,,,,,,,,,,,,,,,,,,,
0,M4,혹시 CCTV는 어디에 있나요?,,,,,,,,,,,,,,,,,,,,,,
0,M0,(…윙크하지마),,,,,,,,,,,,,,,,,,,,,,
0,S1-4,"... 숲의 <color=#5B69BA>동, 서, 남, 북, 중앙, 출입구 근처, 분수 광장, 관리소 주변</color> 이렇게 있어요",,,,,,,,,,,,,,,,,,,,,,
0,,여기까지만 말씀드리겠습니다. 더 이상 CCTV에 대해선 묻지 말아주세요! |여러분들의 안전은 언제나 제가 책임지고 있으니까 안심하세요,,,,,,,,,,,,,,,,,,,,,,
0,M4,이제 더 캐물을 수는 없겠어,,,,,,,,,,,,,,,,,,,,,,
0,,CCTV 확인은 현장조사팀에 부탁할게 |어차피 여기서는 실제 CCTV 내용과 완벽히 일치하는 영상은 아닐거야 |아무래도 CCTV와 관련된 데이터는 충분히 모이지 않았을테니까 ,,,,,M4,0,M0,0,,,,,,,,,,,,,,
0,M0,(8개의 CCTV 중 최정아씨와 김인우씨가 나올만한 장소를 생각해봐야겠어),,,,,,,,,,,,,,,,,,,,,,
